id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
27,2011/12,6th,Feb 12 2012,Sohail Tanvir,c Mosharraf Hossain b Mohammad Ashraful,0,3,3,0,0,0.00
14,2011/12,19th,Feb 20 2012,Rameez Raja,not out ,26,15,-,4,0,173.33
20,2011/12,13th,Feb 16 2012,Yasir Arafat,not out ,13,13,-,1,0,100.00
24,2011/12,9th,Feb 14 2012,Fawad Alam,not out ,2,2,5,0,0,100.00
21,2011/12,12th,Feb 15 2012,Nazmul Hossain Milon,not out ,11,8,-,1,0,137.50
19,2011/12,14th,Feb 16 2012,Muktar Ali,c Mohammad Ashraful b Nazmul Hossain,3,5,-,0,0,60.00
17,2011/12,16th,Feb 18 2012,Muktar Ali,not out ,16,9,-,1,1,177.77
26,2011/12,7th,Feb 13 2012,Nazmul Islam,run out (†Saghir Hossain/Shahadat Hossain),10,9,16,0,0,111.11
18,2011/12,15th,Feb 18 2012,Andre Russell,not out ,35,14,-,3,2,250.00
23,2011/12,10th,Feb 14 2012,Ahmed Shehzad,c Mohammad Ashraful b Mashrafe Mortaza,7,7,14,1,0,100.00
22,2011/12,11th,Feb 15 2012,Jahurul Islam,c Trego b Sohail Tanvir,0,2,-,0,0,0.00
30,2011/12,3rd,Feb 11 2012,Azhar Mahmood,c †Saghir Hossain b Russell,28,16,20,4,1,175.00
25,2011/12,8th,Feb 13 2012,Mohammad Ashraful,run out (Ziaur Rahman/†Jahurul Islam),28,14,18,2,2,200.00
31,2011/12,2nd,Feb 10 2012,Abdul Razzaq, b Enamul Haque jnr,21,23,24,2,0,91.30
29,2011/12,4th,Feb 11 2012,Sabbir Rahman,not out ,15,14,26,0,1,107.14
16,2011/12,17th,Feb 19 2012,Mashrafe Mortaza,c Smith b Russell,0,2,7,0,0,0.00
28,2011/12,5th,Feb 12 2012,Dwayne Bravo,c Shakib Al Hasan b Shafiul Islam,12,12,12,2,0,100.00
15,2011/12,18th,Feb 19 2012,Shuvagata Hom, b Farhad Hossain,4,5,8,0,0,80.00
27,2011/12,6th,Feb 12 2012,Gary Keedy,run out (Mashrafe Mortaza),2,6,6,0,0,33.33
14,2011/12,19th,Feb 20 2012,Shahzaib Hasan, b Ahmed Shehzad,46,22,-,6,2,209.09
20,2011/12,13th,Feb 16 2012,Kabir Ali,not out ,9,7,-,0,1,128.57
24,2011/12,9th,Feb 14 2012,Syed Rasel,not out ,6,2,3,1,0,300.00
21,2011/12,12th,Feb 15 2012,Abdur Razzak,not out ,3,4,-,0,0,75.00
19,2011/12,14th,Feb 16 2012,Mohammad Sami,not out ,8,6,-,0,0,133.33
17,2011/12,16th,Feb 18 2012,Nasir Jamshed, b Saqlain Sajib,20,25,-,2,0,80.00
26,2011/12,7th,Feb 13 2012,Al-Amin Hossain,not out ,2,2,4,0,0,100.00
18,2011/12,15th,Feb 18 2012,Kamran Akmal,c Smith b Russell,82,41,-,11,4,200.00
23,2011/12,10th,Feb 14 2012,Chris Gayle, b Azhar Mahmood,116,61,84,6,11,190.16
